time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.0644,-25.036,-25.036,-25.036,-25.036,-25.036,-25.036
0.0648,-43.1943,-43.1943,-43.1943,-43.1943,-43.1943,-43.1943
0.0652,-60.6851,-60.6851,-60.6851,-60.6851,-60.6851,-60.6851
0.0656,-77.2378,-77.2378,-77.2378,-77.2378,-77.2378,-77.2378
0.066,-92.5966,-92.5966,-92.5966,-92.5966,-92.5966,-92.5966
0.0664,-106.5241,-106.5241,-106.5241,-106.5241,-106.5241,-106.5241
0.0668,-118.8051,-118.8051,-118.8051,-118.8051,-118.8051,-118.8051
0.0672,-129.2497,-129.2497,-129.2497,-129.2497,-129.2497,-129.2497
0.0676,-137.6964,-137.6964,-137.6964,-137.6964,-137.6964,-137.6964
0.068,-144.0148,-144.0148,-144.0148,-144.0148,-144.0148,-144.0148
0.0684,-148.1071,-148.1071,-148.1071,-148.1071,-148.1071,-148.1071
0.0688,-149.9101,-149.9101,-149.9101,-149.9101,-149.9101,-149.9101
0.0692,-149.3959,-149.3959,-149.3959,-149.3959,-149.3959,-149.3959
0.0696,-146.5724,-146.5724,-146.5724,-146.5724,-146.5724,-146.5724
0.07,-141.4834,-141.4834,-141.4834,-141.4834,-141.4834,-141.4834
0.0704,-134.2074,-134.2074,-134.2074,-134.2074,-134.2074,-134.2074
0.0708,-124.857,-124.857,-124.857,-124.857,-124.857,-124.857
0.0712,-113.5766,-113.5766,-113.5766,-113.5766,-113.5766,-113.5766
0.0716,-100.5407,-100.5407,-100.5407,-100.5407,-100.5407,-100.5407
0.072,-85.9507,-85.9507,-85.9507,-85.9507,-85.9507,-85.9507
0.0724,-70.0321,-70.0321,-70.0321,-70.0321,-70.0321,-70.0321
0.0728,-53.031,-53.031,-53.031,-53.031,-53.031,-53.031
0.0732,-35.2102,-35.2102,-35.2102,-35.2102,-35.2102,-35.2102
0.0736,-16.8452,-16.8452,-16.8452,-16.8452,-16.8452,-16.8452
0.074,1.7802,1.7802,1.7802,1.7802,1.7802,1.7802
0.0744,20.3781,20.3781,20.3781,20.3781,20.3781,20.3781
0.0748,38.661,38.661,38.661,38.661,38.661,38.661
0.0752,56.3463,56.3463,56.3463,56.3463,56.3463,56.3463
0.0756,73.1607,73.1607,73.1607,73.1607,73.1607,73.1607
0.076,88.8442,88.8442,88.8442,88.8442,88.8442,88.8442
0.0764,103.1544,103.1544,103.1544,103.1544,103.1544,103.1544
0.0768,115.8701,115.8701,115.8701,115.8701,115.8701,115.8701
0.0772,126.7949,126.7949,126.7949,126.7949,126.7949,126.7949
0.0776,135.7597,135.7597,135.7597,135.7597,135.7597,135.7597
0.078,142.6261,142.6261,142.6261,142.6261,142.6261,142.6261
0.0784,147.2879,147.2879,147.2879,147.2879,147.2879,147.2879
0.0788,149.673,149.673,149.673,149.673,149.673,149.673
0.0792,149.7446,149.7446,149.7446,149.7446,149.7446,149.7446
0.0796,147.5016,147.5016,147.5016,147.5016,147.5016,147.5016
0.08,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.0804,136.2456,136.2456,136.2456,136.2456,136.2456,136.2456
0.0808,127.4066,127.4066,127.4066,127.4066,127.4066,127.4066
0.0812,116.5983,116.5983,116.5983,116.5983,116.5983,116.5983
0.0816,103.9876,103.9876,103.9876,103.9876,103.9876,103.9876
0.082,89.7697,89.7697,89.7697,89.7697,89.7697,89.7697
0.0824,74.1641,74.1641,74.1641,74.1641,74.1641,74.1641
0.0828,57.4122,57.4122,57.4122,57.4122,57.4122,57.4122
0.0832,39.7728,39.7728,39.7728,39.7728,39.7728,39.7728
0.0836,21.5187,21.5187,21.5187,21.5187,21.5187,21.5187
0.084,2.932,2.932,2.932,2.932,2.932,2.932
0.0844,-15.7001,-15.7001,-15.7001,-15.7001,-15.7001,-15.7001
0.0848,-34.0895,-34.0895,-34.0895,-34.0895,-34.0895,-34.0895
0.0852,-51.9519,-51.9519,-51.9519,-51.9519,-51.9519,-51.9519
0.0856,-69.0114,-69.0114,-69.0114,-69.0114,-69.0114,-69.0114
0.086,-85.0041,-85.0041,-85.0041,-85.0041,-85.0041,-85.0041
0.0864,-99.6829,-99.6829,-99.6829,-99.6829,-99.6829,-99.6829
0.0868,-112.8208,-112.8208,-112.8208,-112.8208,-112.8208,-112.8208
0.0872,-124.2149,-124.2149,-124.2149,-124.2149,-124.2149,-124.2149
0.0876,-133.689,-133.689,-133.689,-133.689,-133.689,-133.689
0.088,-141.0966,-141.0966,-141.0966,-141.0966,-141.0966,-141.0966
0.0884,-146.3233,-146.3233,-146.3233,-146.3233,-146.3233,-146.3233
0.0888,-149.2882,-149.2882,-149.2882,-149.2882,-149.2882,-149.2882
0.0892,-149.9455,-149.9455,-149.9455,-149.9455,-149.9455,-149.9455
0.0896,-148.2852,-148.2852,-148.2852,-148.2852,-148.2852,-148.2852
0.09,-144.3327,-144.3327,-144.3327,-144.3327,-144.3327,-144.3327
0.0904,-138.1493,-138.1493,-138.1493,-138.1493,-138.1493,-138.1493
0.0908,-129.8304,-129.8304,-129.8304,-129.8304,-129.8304,-129.8304
0.0912,-119.5048,-119.5048,-119.5048,-119.5048,-119.5048,-119.5048
0.0916,-107.332,-107.332,-107.332,-107.332,-107.332,-107.332
0.092,-93.5001,-93.5001,-93.5001,-93.5001,-93.5001,-93.5001
0.0924,-78.2229,-78.2229,-78.2229,-78.2229,-78.2229,-78.2229
0.0928,-61.7367,-61.7367,-61.7367,-61.7367,-61.7367,-61.7367
0.0932,-44.2962,-44.2962,-44.2962,-44.2962,-44.2962,-44.2962
0.0936,-26.171,-26.171,-26.171,-26.171,-26.171,-26.171
0.094,-7.6412,-7.6412,-7.6412,-7.6412,-7.6412,-7.6412
0.0944,11.0066,11.0066,11.0066,11.0066,11.0066,11.0066
0.0948,29.4843,29.4843,29.4843,29.4843,29.4843,29.4843
0.0952,47.5063,47.5063,47.5063,47.5063,47.5063,47.5063
0.0956,64.794,64.794,64.794,64.794,64.794,64.794
0.096,81.0801,81.0801,81.0801,81.0801,81.0801,81.0801
0.0964,96.113,96.113,96.113,96.113,96.113,96.113
0.0968,109.6602,109.6602,109.6602,109.6602,109.6602,109.6602
0.0972,121.5124,121.5124,121.5124,121.5124,121.5124,121.5124
0.0976,131.4863,131.4863,131.4863,131.4863,131.4863,131.4863
0.098,139.4279,139.4279,139.4279,139.4279,139.4279,139.4279
0.0984,145.2143,145.2143,145.2143,145.2143,145.2143,145.2143
0.0988,148.7561,148.7561,148.7561,148.7561,148.7561,148.7561
0.0992,149.9985,149.9985,149.9985,149.9985,149.9985,149.9985
0.0996,148.9224,148.9224,148.9224,148.9224,148.9224,148.9224
0.1,145.5444,145.5444,145.5444,145.5444,145.5444,145.5444
0.1004,139.9166,139.9166,139.9166,139.9166,139.9166,139.9166
0.1008,132.1262,132.1262,132.1262,132.1262,132.1262,132.1262
0.1012,122.2934,122.2934,122.2934,122.2934,122.2934,122.2934
0.1016,110.5704,110.5704,110.5704,110.5704,110.5704,110.5704
0.102,97.1382,97.1382,97.1382,97.1382,97.1382,97.1382
0.1024,82.2046,82.2046,82.2046,82.2046,82.2046,82.2046
0.1028,66.0003,66.0003,66.0003,66.0003,66.0003,66.0003
0.1032,48.7758,48.7758,48.7758,48.7758,48.7758,48.7758
0.1036,30.7974,30.7974,30.7974,30.7974,30.7974,30.7974
0.104,12.343,12.343,12.343,12.343,12.343,12.343
0.1044,-6.3023,-6.3023,-6.3023,-6.3023,-6.3023,-6.3023
0.1048,-24.8501,-24.8501,-24.8501,-24.8501,-24.8501,-24.8501
0.1052,-43.0138,-43.0138,-43.0138,-43.0138,-43.0138,-43.0138
0.1056,-60.5126,-60.5126,-60.5126,-60.5126,-60.5126,-60.5126
0.106,-77.0761,-77.0761,-77.0761,-77.0761,-77.0761,-77.0761
0.1064,-92.4482,-92.4482,-92.4482,-92.4482,-92.4482,-92.4482
0.1068,-106.3913,-106.3913,-106.3913,-106.3913,-106.3913,-106.3913
0.1072,-118.6899,-118.6899,-118.6899,-118.6899,-118.6899,-118.6899
0.1076,-129.1539,-129.1539,-129.1539,-129.1539,-129.1539,-129.1539
0.108,-137.6216,-137.6216,-137.6216,-137.6216,-137.6216,-137.6216
0.1084,-143.962,-143.962,-143.962,-143.962,-143.962,-143.962
0.1088,-148.0771,-148.0771,-148.0771,-148.0771,-148.0771,-148.0771
0.1092,-149.9034,-149.9034,-149.9034,-149.9034,-149.9034,-149.9034
0.1096,-149.4127,-149.4127,-149.4127,-149.4127,-149.4127,-149.4127
0.11,-146.6124,-146.6124,-146.6124,-146.6124,-146.6124,-146.6124
0.1104,-141.5459,-141.5459,-141.5459,-141.5459,-141.5459,-141.5459
0.1108,-134.2915,-134.2915,-134.2915,-134.2915,-134.2915,-134.2915
0.1112,-124.9614,-124.9614,-124.9614,-124.9614,-124.9614,-124.9614
0.1116,-113.6997,-113.6997,-113.6997,-113.6997,-113.6997,-113.6997
0.112,-100.6805,-100.6805,-100.6805,-100.6805,-100.6805,-100.6805
0.1124,-86.1051,-86.1051,-86.1051,-86.1051,-86.1051,-86.1051
0.1128,-70.1987,-70.1987,-70.1987,-70.1987,-70.1987,-70.1987
0.1132,-53.2073,-53.2073,-53.2073,-53.2073,-53.2073,-53.2073
0.1136,-35.3934,-35.3934,-35.3934,-35.3934,-35.3934,-35.3934
0.114,-17.0325,-17.0325,-17.0325,-17.0325,-17.0325,-17.0325
0.1144,1.5917,1.5917,1.5917,1.5917,1.5917,1.5917
0.1148,20.1913,20.1913,20.1913,20.1913,20.1913,20.1913
0.1152,38.4788,38.4788,38.4788,38.4788,38.4788,38.4788
0.1156,56.1716,56.1716,56.1716,56.1716,56.1716,56.1716
0.116,72.9961,72.9961,72.9961,72.9961,72.9961,72.9961
0.1164,88.6922,88.6922,88.6922,88.6922,88.6922,88.6922
0.1168,103.0175,103.0175,103.0175,103.0175,103.0175,103.0175
0.1172,115.7503,115.7503,115.7503,115.7503,115.7503,115.7503
0.1176,126.6941,126.6941,126.6941,126.6941,126.6941,126.6941
0.118,135.6794,135.6794,135.6794,135.6794,135.6794,135.6794
0.1184,142.5676,142.5676,142.5676,142.5676,142.5676,142.5676
0.1188,147.2521,147.2521,147.2521,147.2521,147.2521,147.2521
0.1192,149.6604,149.6604,149.6604,149.6604,149.6604,149.6604
0.1196,149.7555,149.7555,149.7555,149.7555,149.7555,149.7555
0.12,140.5923,147.5357,147.5357,147.5357,147.5357,147.5357
0.1204,133.0178,143.0355,143.0355,143.0355,143.0355,143.0355
0.1208,123.3871,136.3243,136.3243,136.3243,136.3243,136.3243
0.1212,111.8493,127.506,127.506,127.506,127.506,127.506
0.1216,98.5826,116.7167,116.7167,116.7167,116.7167,116.7167
0.122,83.7921,104.1234,104.1234,104.1234,104.1234,104.1234
0.1224,67.7064,89.9206,89.9206,89.9206,89.9206,89.9206
0.1228,50.5741,74.3279,74.3279,74.3279,74.3279,74.3279
0.1232,32.6602,57.5863,57.5863,57.5863,57.5863,57.5863
0.1236,14.2413,39.9546,39.9546,39.9546,39.9546,39.9546
0.124,-4.3976,21.7052,21.7052,21.7052,21.7052,21.7052
0.1244,-22.9686,3.1204,3.1204,3.1204,3.1204,3.1204
0.1248,-41.1845,-15.5126,-15.5126,-15.5126,-15.5126,-15.5126
0.1252,-58.7639,-33.9059,-33.9059,-33.9059,-33.9059,-33.9059
0.1256,-75.4349,-51.7751,-51.7751,-51.7751,-51.7751,-51.7751
0.126,-90.9399,-68.844,-68.844,-68.844,-68.844,-68.844
0.1264,-105.0392,-84.8487,-84.8487,-84.8487,-84.8487,-84.8487
0.1268,-117.515,-99.5419,-99.5419,-99.5419,-99.5419,-99.5419
0.1272,-128.1743,-112.6965,-112.6965,-112.6965,-112.6965,-112.6965
0.1276,-136.8523,-124.1092,-124.1092,-124.1092,-124.1092,-124.1092
0.128,-143.4151,-143.4151,-133.6034,-133.6034,-133.6034,-133.6034
0.1284,-147.761,-147.761,-141.0325,-141.0325,-141.0325,-141.0325
0.1288,-149.823,-149.823,-146.2817,-146.2817,-146.2817,-146.2817
0.1292,-149.5691,-149.5691,-149.2697,-149.2697,-149.2697,-149.2697
0.1296,-147.0033,-147.0033,-149.9505,-149.9505,-149.9505,-149.9505
0.13,-142.1653,-142.1653,-148.3135,-148.3135,-148.3135,-148.3135
0.1304,-135.1297,-135.1297,-144.3839,-144.3839,-144.3839,-144.3839
0.1308,-126.0055,-126.0055,-138.2226,-138.2226,-138.2226,-138.2226
0.1312,-114.9336,-114.9336,-129.9247,-129.9247,-129.9247,-129.9247
0.1316,-102.0851,-102.0851,-119.6186,-119.6186,-119.6186,-119.6186
0.132,-87.6587,-87.6587,-107.4636,-107.4636,-107.4636,-107.4636
0.1324,-71.8773,-71.8773,-93.6474,-93.6474,-93.6474,-93.6474
0.1328,-54.9849,-54.9849,-78.3837,-78.3837,-78.3837,-78.3837
0.1332,-37.2426,-37.2426,-61.9084,-61.9084,-61.9084,-61.9084
0.1336,-18.9247,-18.9247,-44.4762,-44.4762,-44.4762,-44.4762
0.134,-0.3142,-0.3142,-26.3566,-26.3566,-26.3566,-26.3566
0.1344,18.3012,18.3012,-7.8295,-7.8295,-7.8295,-7.8295
0.1348,36.6337,36.6337,10.8186,10.8186,10.8186,10.8186
0.1352,54.3999,54.3999,29.2995,29.2995,29.2995,29.2995
0.1356,71.3252,71.3252,47.3275,47.3275,47.3275,47.3275
0.136,87.1481,87.1481,87.1481,64.6239,64.6239,64.6239
0.1364,101.6239,101.6239,101.6239,80.9215,80.9215,80.9215
0.1368,114.5288,114.5288,114.5288,95.9682,95.9682,95.9682
0.1372,125.6635,125.6635,125.6635,109.5315,109.5315,109.5315
0.1376,134.8558,134.8558,134.8558,121.4018,121.4018,121.4018
0.138,141.9636,141.9636,141.9636,131.3955,131.3955,131.3955
0.1384,146.877,146.877,146.877,139.3583,139.3583,139.3583
0.1388,149.5202,149.5202,149.5202,145.1669,145.1669,145.1669
0.1392,149.8522,149.8522,149.8522,148.7317,148.7317,148.7317
0.1396,147.8679,147.8679,147.8679,149.9975,149.9975,149.9975
0.14,143.5979,143.5979,143.5979,148.9448,148.9448,148.9448
0.1404,137.1084,137.1084,137.1084,145.5898,145.5898,145.5898
0.1408,128.4995,128.4995,128.4995,139.9845,139.9845,139.9845
0.1412,117.9044,117.9044,117.9044,132.2153,132.2153,132.2153
0.1416,105.4869,105.4869,105.4869,122.4025,122.4025,122.4025
0.142,91.4388,91.4388,91.4388,110.6977,110.6977,110.6977
0.1424,75.9773,75.9773,75.9773,97.2818,97.2818,97.2818
0.1428,59.3414,59.3414,59.3414,82.3622,82.3622,82.3622
0.1432,41.7883,41.7883,41.7883,66.1695,66.1695,66.1695
0.1436,23.5893,23.5893,23.5893,48.954,48.954,48.954
0.144,5.0256,5.0256,5.0256,5.0256,30.9819,30.9819
0.1444,-13.6157,-13.6157,-13.6157,-13.6157,12.5308,12.5308
0.1448,-32.0466,-32.0466,-32.0466,-32.0466,-6.1139,-6.1139
0.1452,-49.9822,-49.9822,-49.9822,-49.9822,-24.6642,-24.6642
0.1456,-67.1451,-67.1451,-67.1451,-67.1451,-42.8332,-42.8332
0.146,-83.2702,-83.2702,-83.2702,-83.2702,-60.3401,-60.3401
0.1464,-98.1082,-98.1082,-98.1082,-98.1082,-76.9143,-76.9143
0.1468,-111.4297,-111.4297,-111.4297,-111.4297,-92.2997,-92.2997
0.1472,-123.0288,-123.0288,-123.0288,-123.0288,-106.2584,-106.2584
0.1476,-132.7262,-132.7262,-132.7262,-132.7262,-118.5746,-118.5746
0.148,-140.3721,-140.3721,-140.3721,-140.3721,-129.058,-129.058
0.1484,-145.8482,-145.8482,-145.8482,-145.8482,-137.5465,-137.5465
0.1488,-149.0699,-149.0699,-149.0699,-149.0699,-143.9089,-143.9089
0.1492,-149.9874,-149.9874,-149.9874,-149.9874,-148.0469,-148.0469
